lookback,buy_threshold,sell_threshold,min_deal_amount,n_positions,total_return,annual_return,max_drawdown,sharpe,index_return,index_annual,index_max_dd,excess_total,excess_annual,total_trades,wins,losses,win_rate,avg_return,avg_hold,avg_win,avg_loss,profit_factor
30,0.9,0.2,10000000.0,3,162.3829729097127,167.59953572258212,-13.92016127984058,2.8510987729942987,14.67327530343101,14.994145826285887,-10.49157517012994,147.70969760628168,152.60538989629623,58,40,18,68.96551724137932,5.11778763588874,11.844827586206897,9.765479937336046,-5.210417478438607,1.8742221669850616
30,0.9,0.2,50000000.0,3,162.3829729097127,167.59953572258212,-13.92016127984058,2.8510987729942987,14.67327530343101,14.994145826285887,-10.49157517012994,147.70969760628168,152.60538989629623,58,40,18,68.96551724137932,5.11778763588874,11.844827586206897,9.765479937336046,-5.210417478438607,1.8742221669850616
30,0.9,0.2,100000000.0,3,162.3829729097127,167.59953572258212,-13.92016127984058,2.8510987729942987,14.67327530343101,14.994145826285887,-10.49157517012994,147.70969760628168,152.60538989629623,58,40,18,68.96551724137932,5.11778763588874,11.844827586206897,9.765479937336046,-5.210417478438607,1.8742221669850616
30,0.9,0.2,30000000.0,3,162.3829729097127,167.59953572258212,-13.92016127984058,2.8510987729942987,14.67327530343101,14.994145826285887,-10.49157517012994,147.70969760628168,152.60538989629623,58,40,18,68.96551724137932,5.11778763588874,11.844827586206897,9.765479937336046,-5.210417478438607,1.8742221669850616
30,0.7,0.2,50000000.0,3,171.4008994465707,176.98770534839815,-18.495427967376543,2.7603689450544557,14.67327530343101,14.994145826285887,-10.49157517012994,156.72762414313968,161.99355952211226,56,39,17,69.64285714285714,5.606953670109962,12.267857142857142,10.986211862629492,-6.733697477434847,1.631527388844711
30,0.7,0.2,10000000.0,3,171.4008994465707,176.98770534839815,-18.495427967376543,2.7603689450544557,14.67327530343101,14.994145826285887,-10.49157517012994,156.72762414313968,161.99355952211226,56,39,17,69.64285714285714,5.606953670109962,12.267857142857142,10.986211862629492,-6.733697477434847,1.631527388844711
30,0.7,0.2,100000000.0,3,171.4008994465707,176.98770534839815,-18.495427967376543,2.7603689450544557,14.67327530343101,14.994145826285887,-10.49157517012994,156.72762414313968,161.99355952211226,56,39,17,69.64285714285714,5.606953670109962,12.267857142857142,10.986211862629492,-6.733697477434847,1.631527388844711
30,0.7,0.2,30000000.0,3,171.4008994465707,176.98770534839815,-18.495427967376543,2.7603689450544557,14.67327530343101,14.994145826285887,-10.49157517012994,156.72762414313968,161.99355952211226,56,39,17,69.64285714285714,5.606953670109962,12.267857142857142,10.986211862629492,-6.733697477434847,1.631527388844711
30,0.85,0.2,100000000.0,3,162.10682312115367,167.31215099769682,-17.586961994576257,2.752257928642529,14.67327530343101,14.994145826285887,-10.49157517012994,147.43354781772265,152.31800517141093,57,40,17,70.17543859649122,5.427108478984146,12.052631578947368,10.144869876962252,-5.673506575081991,1.7881128262930837
30,0.85,0.2,10000000.0,3,162.10682312115367,167.31215099769682,-17.586961994576257,2.752257928642529,14.67327530343101,14.994145826285887,-10.49157517012994,147.43354781772265,152.31800517141093,57,40,17,70.17543859649122,5.427108478984146,12.052631578947368,10.144869876962252,-5.673506575081991,1.7881128262930837
